-- Logs begin at Thu 2016-10-27 16:09:44 UTC, end at Thu 2016-10-27 16:46:54 UTC. --
Oct 27 16:39:41 managesf systemd[1]: Started Zuul Server Service.
Oct 27 16:39:41 managesf systemd[1]: Starting Zuul Server Service...
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,717 DEBUG gear.BaseClientServer: Preparing to poll
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,718 DEBUG gear.Server: Accepting new connection
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,718 DEBUG gear.Server: Polling 0 connections
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,719 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,719 INFO gear.Server: Accepted connection <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,719 DEBUG gear.Server: Registering <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,720 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,720 INFO gear.Server: Received admin request <gear.AdminRequest 0x234b810 command: status>
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,720 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: .
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,721 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x234b810 command: status>
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,721 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,721 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:41 managesf zuul-server[21429]: 2016-10-27 16:39:41,721 DEBUG gear.Server: Polling 1 connections
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,273 DEBUG gear.Server: Accepting new connection
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,274 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,274 INFO gear.Server: Accepted connection <gear.ServerConnection 0x234b810 name: None host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,274 DEBUG gear.Server: Registering <gear.ServerConnection 0x234b810 name: None host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,274 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: None host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,274 INFO gear.Server: Received packet from <gear.ServerConnection 0x234b810 name: None host: 192.168.122.10 port: 58120>: <gear.Packet 0x234b850 type: SET_CLIENT_ID id: Zuul Merger>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,275 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,275 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,275 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,279 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,279 INFO gear.Server: Received packet from <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>: <gear.Packet 0x234b850 type: CAN_DO function: merger:merge>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,280 DEBUG gear.Server: Adding function merger:merge to <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,280 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
