-- Logs begin at Thu 2016-10-27 16:09:44 UTC, end at Thu 2016-10-27 16:25:19 UTC. --
Oct 27 16:21:11 managesf systemd[1]: Started Zuul Server Service.
Oct 27 16:21:11 managesf systemd[1]: Starting Zuul Server Service...
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,048 DEBUG gear.BaseClientServer: Preparing to poll
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,049 DEBUG gear.BaseClientServer: Polling 0 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,051 DEBUG gear.Server: Accepting new connection
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,051 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,051 INFO gear.Server: Accepted connection <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,052 DEBUG gear.Server: Registering <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,052 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,053 INFO gear.Server: Received admin request <gear.AdminRequest 0x1ec7210 command: status>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,053 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>: .
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,053 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x1ec7210 command: status>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,053 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,054 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1e4d8d0 name: None host: 192.168.122.10 port: 58218>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,054 DEBUG gear.Server: Polling 1 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,063 DEBUG gear.Server: Accepting new connection
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,063 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,064 INFO gear.Server: Accepted connection <gear.ServerConnection 0x1ec7210 name: None host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,064 DEBUG gear.Server: Registering <gear.ServerConnection 0x1ec7210 name: None host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,064 DEBUG gear.Server: Accepting new connection
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,064 DEBUG gear.ServerConnection: Setting state to: INIT
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,065 INFO gear.Server: Accepted connection <gear.ServerConnection 0x1ec71d0 name: None host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,065 DEBUG gear.Server: Registering <gear.ServerConnection 0x1ec71d0 name: None host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,067 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: None host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,068 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7210 name: None host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,068 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: None host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,068 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec71d0 name: None host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,068 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,080 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: None host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,081 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: None host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec7350 type: SET_CLIENT_ID id: managesf.sftests.com_exec-0>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,081 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,081 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,081 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: None host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,082 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7210 name: None host: 192.168.122.10 port: 58220>: <gear.Packet 0x1ec7350 type: SET_CLIENT_ID id: managesf.sftests.com_manager>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,082 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,082 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,082 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,087 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,087 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>: <gear.Packet 0x1ec7350 type: RESET_ABILITIES>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,087 DEBUG gear.Server: Resetting functions for <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,087 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,088 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,088 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,089 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,090 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec7350 type: RESET_ABILITIES>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,091 DEBUG gear.Server: Resetting functions for <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,092 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,093 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,094 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,097 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,098 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>: <gear.Packet 0x1ec7350 type: CAN_DO function: set_description:managesf.sftests.com>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,098 DEBUG gear.Server: Adding function set_description:managesf.sftests.com to <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,098 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,098 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x1ec7210 name: managesf.sftests.com_manager host: 192.168.122.10 port: 58220>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,099 DEBUG gear.Server: Polling 3 connections
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,100 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,100 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec7350 type: CAN_DO function: build:zuul-demo-functional-tests:master>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,100 DEBUG gear.Server: Adding function build:zuul-demo-functional-tests:master to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,101 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,101 INFO gear.Server: Received packet from <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>: <gear.Packet 0x1ec7390 type: CAN_DO function: build:config-update>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,102 DEBUG gear.Server: Adding function build:config-update to <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
Oct 27 16:21:12 managesf zuul-server[21124]: 2016-10-27 16:21:12,102 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x1ec71d0 name: managesf.sftests.com_exec-0 host: 192.168.122.10 port: 58222>
